Address,Quantity,Percentage
0xf241c974c20c1da4d6a5cad810c61f5a2584a0c8,20.5,0.00%
0x0df5df8066f8ecc7a15fcd0cf71b9600f80c232b,20.06217114,0.00%
0x9450e97a929331131e2fe067ccdff3604340f841,20,0.00%
0xf1c136a064cb9c7d604e081cb0e422e163d7e367,19.98037369,0.00%
0x199c719c83d8246559700c00fff8cde14182e192,18.938,0.00%
0xf8239787f718a8c448155b4e702acc1f0fd48d63,18.6629,0.00%
0x4f04d92a34f6d4bebb3d4cfff853ee84c2c4c29a,16.55575365,0.00%
0xc40c1e3d7884227b84c3315ef6c74782a471c7f0,14.425,0.00%
0x0f6ca2074b36f384ff4d152ba1950709f725c38a,13.78571428,0.00%
0xa78b17be183521221a159a827441e0b1ee84b0e8,11.7924,0.00%
0xb3a43abc87776730e3517141ec20badc76043d0b,11.5,0.00%
0x3f5f7f92772b84a114bf1a76f428d1290b51574f,11,0.00%
0xc6f36547cae30156fa446a865b789de974b6a073,10.41666666,0.00%
0x7dc6f53dff4a0f9f7172c70c1152610c05299668,10,0.00%
0x3762fb228f6bab365187902046805059f871d061,10,0.00%
0x572907f4a6e53fef2d554d81fdf4204af3178277,9.99,0.00%
0x67fcf685d0b01e04f27224781b4905e90e72f83f,9.5,0.00%
0x59cbe0863fec0a70409446b394c927a07a525fe0,8,0.00%
0xe5ba2f237bb4188aacf27fd8ec2bce499ca28060,7.78315147,0.00%
0xf580916f5336438cefbd4aa346a49647e956d2da,6.662,0.00%
0x4f76165418fad0619b36109042ae0eb750d0f989,5,0.00%
0x112834f8d1f8f75ba89c3dc64f3bfd6f330cc91e,5,0.00%
0x7cb403ff95802e21aa789fa409a86d3e3f60ea44,5,0.00%
0x16cfdc13ed1173bda92ac0542e092852b4a055e7,4,0.00%
0x407e82b074d4f58c84066fb681e80e843fbf389d,3,0.00%
0xcfaef6bdae97dea60732a2192caa7d5e2c365d92,3,0.00%
0x5e2099fc220e693a7bf9ee2a8b901215d13135b9,3,0.00%
0x11f7edb5997bf8a11f13dd2d5ffb0d971aca8717,3,0.00%
0x869b041fe7f68b2156b1582c43c3c381c98db084,2.4910526,0.00%
0xf7898ecb5cf5deb2ff2876e177f04c88dcdb8af4,2.4,0.00%
0x13739d921611f1a83d1adfad5dfe34f4efdba6bc,2.02,0.00%
0x6a140450bfb36b3c5896b94e2726d2ccc2c568dd,2,0.00%
0xc2fa19a482b741dd862ae874e0fcf869833f00d0,1.887,0.00%
0xcbb70d0ff07ce56616c4e39b3c5bd06a6358a489,1.5,0.00%
0x982d1dc2e9550546636662dfe40af03d6cf0d28e,1.33652589,0.00%
0xac24a7636cdb7c286120839ef107ec19e173f70d,1.01,0.00%
0xe8621c864f58f5244944f78ed61c0d5b033574c8,1,0.00%
0x17bc58b788808dab201a9a90817ff3c168bf3d61,1,0.00%
0x2b067446843d77a9c6019c28b59ba34c5987953a,1,0.00%
0xf710dbc6756ede8bc7157f18dc6bf5046f7f993a,1,0.00%
0x008340d24770ae969c38f7a01eaf77905311d66f,1,0.00%
0x7818c273b1399011b276d40d994e7dbaed9b0854,1,0.00%
0x910e0d44fe4fc5bb453395c14596384b0cbaf3da,0.99999,0.00%
0x0eb9a6e96617dae2fd466ddc2a18704fea99c9a2,0.73652067,0.00%
0x1e8d024b44bfb4eba4f9e8641ca514c882f6d0da,0.35,0.00%
0xef29dacd1c45c01ab3b2e062a840c2df7c9ae0c7,0.3037,0.00%
0xbb71c78fa489ab67dd62394d979355bc6ad4fdb2,0.3,0.00%
0x1b0d3b625388ab266951f2600bfec789dc1be475,0.22,0.00%
0xa2ac716b08c32c4bce9ad92ff0fcefac0d91a14b,0.2,0.00%
0xcb0f96aa16dd00118728e6b50d18fc11a4426fa4,0.1,0.00%
0xc47a8d09c304644674300c7f22a74f72c9bc35cb,0.01,0.00%
0x00721ac6c2d34b014d78558c82a834ccec754173,0.01,0.00%
0x4420c956dc2fe1267fb9fd4e159cca560efca45b,0.0032,0.00%
0xa3cc1949247fa8e5edbf01f2351438285856d657,0.001,0.00%
0x83c26adaf6834c82c6074d12160aebc6f2591241,0.0001,0.00%
0x6196fbcea9c9520342934dc915c71266c594c9ba,8.46E-05,0.00%
0xf879a00702fa8bffdfc8ce884209d9fed10250e2,8.30E-05,0.00%
0xa6d57146555f3f7ffd6bdf755364d1136bf378bb,7.89E-05,0.00%
0x1b229248f8d0e4444b1a1b9e0990159376580270,6.70E-05,0.00%
0x79f68f2a1360b00eedab3b16c3812089e02e3d45,6.15E-05,0.00%
0x4b9a385358318b628a29c35a956da1d73d9cff13,5.95E-05,0.00%
0x4fc291b6e55f0b1ccfceec6aa69c44240abb4ff7,5.37E-05,0.00%
0x4517ba6960785f0160ff58b385a6ea186b2557ee,5.28E-05,0.00%
0xf6bbc05580b5348ef5ac601c6aa051d60659d9a6,2.00E-05,0.00%
0x6d318be3657fbc0515a0ab4945c21be0f17d935f,1.00E-05,0.00%
0x4bd74cbf15f692d16661893449d06ff4a0907757,1.00E-05,0.00%
0x2c8525b25c45ff89bfae3f07fb1477c9b2d833bb,5.08E-06,0.00%
0x5dbd7e3f069452b837adc089fa886673e4f323a1,3.37E-06,0.00%
0xb28aaf8bd29d78402df4cf81a66be9ddd7a53eea,4.00E-07,0.00%
