Address,Quantity,Percentage
0x6df3c494fd6a64867111e7c5762b1194976aade0,11990,0.00%
0x6ff563a71692ca4ff840070b0a0cb9540b27315a,11900,0.00%
0x67c3e8d8f7b12cf98206a3d1033be5ff14d948f6,11880,0.00%
0x60d5d6060112fd0f280377b08c0babb7dcfad9ce,11880,0.00%
0x61f79a083413fe2d977a90a2078ff1a9ca7770e6,11880,0.00%
0xe4cbc5a132126033b904bb18b5caab188387bf2b,11880,0.00%
0xbce12d71f561a57403edb441e82d88fb397792f0,11880,0.00%
0x48a9bd493085b886c71196327c7539981589b97f,11880,0.00%
0x52541baea8d662f9f626353c76ab39e5d9194c19,11880,0.00%
0x9cbc06b9781ad9830236c88d00226d8c867d7037,11880,0.00%
0x63d84e1079aabb2e5190f123ae8b4e7f0a2a708b,11880,0.00%
0xc8b9b78a31c614f1f3c7431276bc2dfa143abf0d,11880,0.00%
0xffae57cb96ced352a6695c01f093653216f1ff3e,11880,0.00%
0xb83c5e2bbe4dd94a14b0a921a6252f3e9c1e5a5c,11880,0.00%
0xf1c136a064cb9c7d604e081cb0e422e163d7e367,11569.5,0.00%
0xf46cc93e10f98d7479b172271e7b5c51fd8a73b0,11503,0.00%
0x94619fa1da478d99c92ae4e4cfc28373795b8ad7,11137.5,0.00%
0x5c2d4d644eacc71878b7ac508bbf9a24ff9ac7a1,10456.03,0.00%
0xf33007743f9affca77efc2c9aef7d574801abc31,10269.8199,0.00%
0x7d9f4fa542be3574d72f8e0df6e481e2eb664156,10000,0.00%
0xd009cad61fcac158da6597b717e6d5538c8ad90b,10000,0.00%
0x30ae28f9bb45078064b9d8eb102fa019f086c001,10000,0.00%
0x91f291997b21d8242b08fe9255ad1724fa3d2c75,10000,0.00%
0xd60a898dc9500a48d440e5f82b9a104581bcdaf2,10000,0.00%
0x53f8ce913d59faf75ff0b54f7605495ff4c2a3c3,10000,0.00%
0x9c75152cd6240a9388812b2402ebcd6a081572b0,10000,0.00%
0x5ef443d995427434983d826db4be4bde41aa5839,10000,0.00%
0x64b8642797f08abba91e79897e2d1ea80223a8df,10000,0.00%
0x1dc041a6ae879ea0a247823f6d1392e598ca9b33,10000,0.00%
0xf8f9ccea992ec95b074027e3f119be86d9aaabf0,10000,0.00%
0x140a58776e991bc6bfcf0a8ab4459627c614a771,10000,0.00%
0x6dd8bede583fd7be4a014d35c01dfd917dccb543,10000,0.00%
0x0edc7e1807db7b1b261bb5e57e4d92ea04d2eb19,10000,0.00%
0x36113de576d982046e6715c18fb91e7c537c26c0,9900,0.00%
0xc4e2ff822aaa8860dd739dd961f56809bdd99d88,9900,0.00%
0x181c1bed48129513751bd905e6ad679821e0d394,9900,0.00%
0x96fae9f130db8ab93f4b565c63cd5c0cedf8b105,9900,0.00%
0xbf900d49d071a871c283fb58178c48556e0dee46,9900,0.00%
0x90cedb8a2777d3111f37f2fb8a45841532a3256e,9900,0.00%
0x2068a1655d383dc30451c5f242e75028c3010426,9900,0.00%
0xa8c8adb1ddae2469ccb8c722e2df1de80408fb5b,9777.213,0.00%
0xd736f16fc6b466c31a37f85ea3e7da0a489a62fe,9063,0.00%
0x4293445763814cd4a67564ab9ebcd0f455fefceb,9000,0.00%
0x13bb74a87c26c7c2c6022493a9c593536ecb200f,9000,0.00%
0x6e9121ee1a8c9e35e7ce883954338343dd2fa3b3,9000,0.00%
0xebf8596fbcdf3a9abdbf3522a7ff1f661dc9b42e,9000,0.00%
0x07c504b89eced9ef2138686ffa70356fa8127076,9000,0.00%
0xbc89859f8bcb0e71c82349110e02fc1672b2c313,8958,0.00%
0x9889c7555a55f598eec26e9fcb3ca12f6b51ab60,8681,0.00%
0x6b0162f6169f69962e0f24103f16195361c999c9,8000,0.00%
0x72a2a39fda82727d7b42119288903bde77d4083f,8000,0.00%
0xe4d25ee65b3c4e4002fcf57c877657419d2d8160,8000,0.00%
0x76a227268a609501cd52f1e471685c6d3af47172,7960,0.00%
0x1a96d642cff5ba2ffb6e6a08144e98a074038c84,7911,0.00%
0x4d25c69f83087da98322b9812731d934b19bf1b1,7500,0.00%
0xcdef66ef1fd0d7d15547614ff229ae55c6d03a03,7425,0.00%
0x6581b9a037eaffaf1950cfbc44729db799b20667,7150.0428,0.00%
0x3967fdaf8a27c2b0c649c86402d93c585a402b40,6900,0.00%
0xdcb20e1b76eac5ffc8c42a239769f0f2a3a052fc,6887.2059,0.00%
0x101c68c876716a2f1d5a28e649bb15e37cd1da4e,6750,0.00%
0x8db614f0644a4d78131e61c0df6558371840bb49,6700,0.00%
0xaa5fb42bc06d6fa5744f73dd0b9e513763525ca8,6000,0.00%
0x0648f158ae20c4a4b445413bb2accb7c8e91b83e,6000,0.00%
0x9f0848af7a3c5b464fb3e6c060872446f0b690ee,5995,0.00%
0x190f9f6d1955f404e83750a9b38c7251c271f11c,5940,0.00%
0xef36e534cc906b237a3f34072d5fd99f7bb3caa6,5940,0.00%
0x510f972b7aef597c865e560bd697d4ce42c9eb8b,5933,0.00%
0x9f7cfded70819fdbb03113990701a881c1994143,5624.685,0.00%
0x10ae09ed30a4029a673f24483fa7c8781a455e84,5562,0.00%
0x19509c477db166d492d0205f852f53f8dab1c86f,5525,0.00%
0x40ef3ef29de6d739712c0fdd8b2daf65b665102c,5506,0.00%
0x0b108003bb96104d3e5541a590e224797aeeed05,5160,0.00%
0xc940bee56550d54b964c91e199c9810b3e8e2ee8,5100,0.00%
0x96561ce13e2f153411e26a5aafabffcfa6322552,5000,0.00%
0x0067e167caf808eaa6f642d9232e54ff7bb47c07,4996,0.00%
0xb32182d4560589e60487c8cd6b0d7dcb5f5613fd,4918,0.00%
0xd4b6fbacef341b5083c5e49edc934c1619a5d3d8,4917.5,0.00%
0xc08c8b52c72ec16112790fd7064c534a840c9644,4917.5,0.00%
0x9bee1d7cc83fab48ebdcbb6ce504a1864126195e,4917,0.00%
0x3662a22c4373cf03f19c41328d625c1b5cdefac2,4900,0.00%
0x96e8766bf83bf840d66376ee251baffe661492df,4873,0.00%
0xb5fc5e6a65a456bec6627f83cc32df1d6f4c57b0,4752,0.00%
0x9f22f23944b972ed1e3beaaba5f5cd0d329ec199,4740,0.00%
0x7d8396c06889528127c1c3802fec03fc9579a73b,4668,0.00%
0x3f1a6f0c6eb349144adc3cfa72534b876d735eb4,4500,0.00%
0x9112e4bbb7911e9568cc74ccdc60c469b422a702,4348.591,0.00%
0xb2fe2f5f5c75bb099898a6304df0db16c799ba03,4245.94,0.00%
0xb2364076eae65a98dd35d9458fcb81e7ed2e5a90,4186,0.00%
0xe16ce2c08b0fd2b1f81b39cf9556cc9b3d0aa4b8,4124,0.00%
0x9d398a251e87c2f1505f62e759bf7b6c1fd2a790,4124,0.00%
0x072739abe8e774cbfb9a0d5421a3831b9f882719,4124,0.00%
0x785a98191fb04fea8448443ec573a6ac20481190,3955,0.00%
0x258afc80918f195fe44e95ff566fe0dc0d2d6331,3950,0.00%
0x700e63a84aa851de6fedcb94467ac7b15456275e,3626,0.00%
0x3a82a247315a139df1ce8a161af2c25221e4bbb7,3400,0.00%
0x90897b8fde83296cf0dd3b0f6eac0cbbf01e6664,3302,0.00%
0x5750c1ac42b108e2b4bc4c966820ee038c197679,3135,0.00%
0xb402f20295d89e939dea294cdde26cc06a9dc93f,3135,0.00%
0x1e19ab1dbd3e5e4cffbc33b9965e0e856fd12ab7,3000,0.00%
0x763dd0f0ef3a408ef7b7cbae437be27982b0d886,2956,0.00%
0x5a00ec16c5b81a060f4c575bbedf82ef4a029145,2781,0.00%
0x739fe9ed293fe0df6c78f0ced0afa66b07e0a8f7,2700,0.00%
0xd78e1ce8092f4729a17ebc8e23ce8e286b3d4760,2600,0.00%
0xef899fe82f1c92fea3553e17c4af31a6835b23c7,2500,0.00%
0xe6546207ea26fe6a1ee2de9af26b90dd24baf760,2500,0.00%
0xf164c1d56c84513ccaee8feb8fc34597da4ccca0,2500,0.00%
0xfd4876f2bedfeae635f70e010fc3f78d2a01874c,2498,0.00%
0xc8ed9778fe2e59f16e6860b17e4b2d402e189e05,2498,0.00%
0x75f86b7d8cc356ccb3ffef9d2c2f99e11d04b3e6,2498,0.00%
0xc6c114c4970b9464f12a3e2aca4d0f7fc9b02600,2498,0.00%
0x51fa56836d09694da5fd917489c0838b5823ab2b,2498,0.00%
0x12917f21f5a2b94e31697aab8b6721068a97b6f1,2498,0.00%
0x15d8df857027086f47daf50e5d445dbd7d180733,2473,0.00%
0xa3f9cfe0b2b5aa303a2903e830c9d945711546fc,2446,0.00%
0x997439770f67847af972dbe2a1be279086ca3ffb,2385,0.00%
0x57aa7636d09d33e584ca0436e968377e0050a76c,2300,0.00%
0x934dae786ced50901a1cac3b0c79c00bb00da35e,2268,0.00%
