Rank,Address,Quantity,Percentage
286,0x552b76f29f0b6f5bddc2e5ad6c0256bf5a7b5406,156221.2142,0.02%
287,0x8006a874a94b3dc5549fe45aa8a1e5fb89f2cea7,155450,0.02%
288,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,154834.0599,0.02%
289,0x052d09d4140f7648f3e278bae08e1cf75061018a,154558.538,0.02%
290,0xfd6d2a8a6e2c0b1df66f1d08dabfbfab6a00c3f6,154309.5711,0.02%
291,0x7dd57815329529989376b286b9226171f06d3f03,154035.5975,0.02%
292,0x932ff0aeea9fa6044d4ebc1401e6f6161d1d2ddb,153583.3514,0.02%
293,0xd405e6ce7656da3d4799c2b854ef2d49000f71ae,153397.2485,0.02%
294,0x9517ff02928905a93532b212248ba5d76738c089,152796.15,0.02%
295,0xf954ffdd0bfd9b7020b9850431e22f13e309bbf8,151371.3248,0.02%
296,0x5cf2ed6a095fd9d5704b2036714d36d87781cd3d,151065.3245,0.02%
297,0x76f5cac33b6c629592ddd7ea91709392fd1d35f7,150936.258,0.02%
298,0x10283baa7e9e7a02fb498c1dfc70571e5f4fa46b,150365.2982,0.02%
299,0x6ca26ec13645b6168103db92773ed5387f255375,150103.4872,0.02%
300,0xe28822b5071979b99cb9db5687b3886ae58cbc4c,150008.9976,0.02%
301,0x4d6e04fe5d04202f082695e2d201a5c27d88392d,150004.4862,0.02%
302,0xac7ceea76b750558cb8ec564eef66a91253acd7c,150000,0.02%
303,0xcf68db2cbfbf03b49395c9b587da5a4b2e8fcd40,149955.1131,0.02%
304,0xbe6a237235acc4abcb9a41bd3fb7b0658c44d6ec,149811.531,0.02%
305,0x6e88cc399c7590dbc7fd2b0ce67520158dd08fcf,149359.4449,0.01%
306,0x1a90b8082d5babf51196d66aded5a0436da3b5f1,148310.0579,0.01%
307,0xef27ff3fd938c703e673845404242d96e4c82adc,147251.6267,0.01%
308,0x8d8bcd5625dacbd5052707f7cf916b0f2ef63b81,146488.88,0.01%
309,0x6ec8214a8a913250c94aaeb155299c79fad8cbe3,146158.0849,0.01%
310,0xf039febaca2405fc9a434e0a9c35021f52aad920,145775.7715,0.01%
311,0x59c1a8c28d3cb49ea7d8e21ec3b392d680f503a8,145438.4589,0.01%
312,0x0fe81de2b1c71c656eb1280d02d6513c2271bcc6,145358.2078,0.01%
313,0x67f7d039e4d50b6089bf86534180403b57efddc2,143061.5946,0.01%
314,0xb553f19e595df4c68740b73154887710af3615dd,140943.4959,0.01%
315,0x4dc8a2c68cb440b5451ad8c230198b213b3dde30,140682.2585,0.01%
316,0xe86f54f78aaacee8a6bc7ef4a40715b5e3389e07,140483,0.01%
317,0x5c9b4ba4709e6d70a1c0dac6504e2753255551d8,140298.08,0.01%
318,0xd8a3fd37e0b3568b09cecad40c993cdd081e137e,140154.5,0.01%
319,0xa4a6a282a7fc7f939e01d62d884355d79f5046c1,140000,0.01%
320,0x5bb2271ea775fd2e69fc1044fcdacafc0ddaaf0f,139267.7327,0.01%
321,0x0528e7c2c1673c001989de25c8cd26e927a0952c,138669.321,0.01%
322,0x3dea30b8f4da7aeae7290b1d6496d2aacc575bf3,138037.59,0.01%
323,0xb5e739f2f9da234149ca2382a82a2089132f590c,137467.3405,0.01%
324,0xc8fb6f4a52a8a194f5d364468d4cd0815b43d0fa,137304.1663,0.01%
325,0xae26a974e722b82b7e4b8d21ef1e5f7df40cd8d1,136884.3807,0.01%
326,0x81cd16ee6a008c3d12f332bdd2fd653717f71af3,136683.1512,0.01%
327,0xe0bb8752128ea11ed56752818f8190f568a8ef09,134544.8127,0.01%
328,0x219eb89288ec4bf1802cb8b5d45e46c1933a2497,134405.5356,0.01%
329,0x9a7ea9286abb84b255bb5f8d74a0d81b3684ab99,133963.9575,0.01%
330,0x60a6a53152c9ebf2232318c894d2a4a1505d4bed,133800.3168,0.01%
331,0xbb7647fcff746d2d57b74ce80b7939b1ea7163c0,133263.943,0.01%
332,0x445144eb0ffdeda4eb6435f581cb3207daff155e,132984.4059,0.01%
333,0xf8fbec22afe5089b1d71ae455f258b55680bb5f0,132837.9656,0.01%
334,0xfd5cd5bf27c96887d7b8a9f3964582514338953e,131312.7205,0.01%
335,0xf691738e837f125149aad436b3655da910d3a2cd,131289.3851,0.01%
336,0x00fdb270f4e2b4b61ca97fe278d2d9957c0042f7,131174.4769,0.01%
337,0x1712a4e8fc0ab4e3cb63dd38f32eda764b4d6ac6,131112.0833,0.01%
338,0x04e044d9a64ed16c1c6780da7b9ec41b29f286e9,130590.9345,0.01%
339,0x3fb695a1b8bc5ea18d8a4811eb514a7e17d80695,130000.9215,0.01%
340,0xf3bf71405306f90bdbf65391f4d6ea943abd9b6c,129625.4341,0.01%
341,0xf97266cfc8acbe9ad3977697ce6b34568459e006,128567.8444,0.01%
342,0xb5dcff27ea5bc5bdbde31e73e9466a7fdd3043cf,125750.9124,0.01%
343,0xa86a715c8d764a7d8c523672f629a9435c748191,124900,0.01%
344,0x966ece7eeb610e4bd0b835ce2b306d80aa96daa4,124346.2142,0.01%
345,0x2615d5c44866f512e3451f65433779ae390da9c5,124297.6428,0.01%
346,0x1c51715837620945058d0f4404b65e5825213ede,124288.5938,0.01%
347,0x7eb425b66b21d527093deae042e054b3832f5ef1,123437.8712,0.01%
348,0x288341eafd48cc1dbb57005c84e84640f81e48ca,123344.0807,0.01%
349,0x00b35e49de29b61fa3b0ad8d8be308543db89520,122255.15,0.01%
350,0x2a130223bfc8171d6e2033d65229544420f6a0c7,121865.0816,0.01%
351,0xd5b8cfb9019a05057175f22bb8fec78407c9c9c8,121659.9333,0.01%
352,0xbcb3f6d2c2e9c6c39b524ceed90ba568fdf38331,121426.5265,0.01%
353,0x3440a7cf420ccb478f14f143160762bf2ef9a909,120455.686,0.01%
354,0x20ecb41a1e488b5820694ab9be4d0631723ba7a4,120120.4804,0.01%
355,0xe4b891c9785c20c3ffe29f16c01516b9058f4f31,120070.2846,0.01%
356,0xa80eeb853e0791a8a4bd31d66f8fa7a758bab305,120003,0.01%
357,0x4690cd0017e615508a474a8936732f469b6d90ac,120000.9688,0.01%
358,0x412175e394eb7b9051feb85465eaea72e02f1297,120000.492,0.01%
359,0x33da54d136696967d68c4a8955f504028013e076,120000,0.01%
360,0xcc771c62979ed28d455c134709d4094a9901b353,119499.5456,0.01%
361,0xd962f77591dd2e2a212c1eb759fa3b86963c8393,119476.3081,0.01%
362,0xba3afe2f23130a868f56eebd297bcba470d68479,118645.4715,0.01%
363,0xc65f246cdd0409b27f3eeae0ce36084128a50900,117752.244,0.01%
364,0xe384f81469827f5bdbb696503f72df7c69d458d1,117103.65,0.01%
365,0x498aafb0459d034466cd8e2cd0f6d849aacc36cd,116526.6806,0.01%
366,0xd4d9fb0326e34927d52078d768b704e25fc93855,115691.5679,0.01%
367,0x8ef22fd14515d0605820fc8afe3b5d16bdd6f996,115458.5787,0.01%
368,0xaa0550aa9fa5ef99f506a1cc4b325c73129afbd6,115229.8839,0.01%
369,0x7c87117a9b496cc8705c36581819f1e3e9107684,115152.6499,0.01%
370,0x5d8ad6740997ea18424df7bb2d719531f1e05541,114868.3339,0.01%
371,0x97009cdd435629e1a45df4b8f1f4d00bd7f58b8f,114507.0222,0.01%
372,0xbe9724f7fc235f7e63c9a0dc04b95734ad55e1d0,113791.26,0.01%
373,0x570d460d5fc37fda76d9fb67725b790898c89f9d,113287.2877,0.01%
374,0x6b022e4a9973dea689166c547baee003e5e00907,112550,0.01%
375,0x27329955af3fc69045b77989f67da77a5c9f6090,112032.6412,0.01%
376,0x0dd4f8a00b9a9c8ec23f77082d5b7e2db4e52ab4,111187.0177,0.01%
377,0xa45c46082a60e90bcb740c5d86218d79f40746fc,110570.0672,0.01%
378,0x5fba60a4b248bdf92851c0472ad13dc8e6ee9e4d,110000,0.01%
379,0xcf40c0886d23831389361b07f02000bbd88e0253,109231.3207,0.01%
380,0xa768fbceea6c289db2b47e031649cebe389ed5da,108845.2413,0.01%
381,0x71a3ab4276fdf36a2ed23470e692ed7c336d68d9,108845,0.01%
382,0x7fbc704c831733e8328b7dd836513e96c3f94dda,108830.8201,0.01%
383,0x163830db4f9e057c7af8b49de071b2e9913b9399,108764.0529,0.01%
384,0xbcdd0e3aa17224c88abf0ebe36bd82a9f83a638e,108739.2912,0.01%
385,0x60225d8e3b15e3a74e2db4003cdba54280baa76a,108306.69,0.01%
386,0x6522dac5fc36050ab9a4eb6b177e1ee0382d2cd7,107924.987,0.01%
387,0x57bf9d9852f123a4fa7fc78d995ea56c137790bd,107082.2307,0.01%
388,0x4473a0759f9a9af511501816f381568567a20d47,107020.8179,0.01%
389,0x66387e8c9308b0aa9d28a8bf17acd5050cebeac0,106884.8,0.01%
390,0x17533b079bd0c41e1b78d5dfa9bc24a9aeb04227,106280.4089,0.01%
391,0x4964ad6ec74c4d077ff3b982d69d1e547340e937,106168.5691,0.01%
392,0x49c2dfe26214fc30ca7de126ec893070caf9b2b6,105674.7509,0.01%
393,0x4835990586161ce78f002596f6e6156246ac13a1,105278.452,0.01%
394,0xdf5010795dd41edd97a0e91fd92aff11e5b666b7,105183.2123,0.01%
395,0x927a7b845f6fe20e4be1f50a9385b7be63da94ea,104936.5295,0.01%
396,0xef312785a2c2ee41f119b13dd01500504e24d903,104762.3909,0.01%
397,0x441491664a285935105e8858875b41ad626f24e5,104755.1167,0.01%
398,0x0211cf14ebce89de130c22dcbce7d54a5e713788,104505,0.01%
