Rank,Address,Quantity,Percentage
60,0x7a1909fae1a45732b4d31dd2d256cb34513ca82c,200,0.0000%
61,0x5016cef7b054943cbd6e4432aa2063bc0bff6171,200,0.0000%
62,0xbcbd9e86076d62b99808bb80aa1166bae7ad7923,200,0.0000%
63,0xa6d9949424746518ba7e5eca76be938beb77e66f,200,0.0000%
64,0x3ff1c40ab8f779fb1979f60ffcc180e873c8b29b,200,0.0000%
65,0x4e1aad9837e9777e19f5a459b4b7930641936e9a,200,0.0000%
66,0xf16f48e9007a8f098ef757f34f323b79c8d1a8d5,200,0.0000%
67,0xec5afe9bc29cb89ce3bcd79a19ff468708e00527,200,0.0000%
68,0x0403aa4baf15ebcbcec64963a390e8889d2d142e,200,0.0000%
69,0x00957f1d1544682204c063a0696df51ab159068f,200,0.0000%
70,0xe680cc5f87d288c43916c04fc687e5d25b3ded25,200,0.0000%
71,0xbf13296bfa17b6ba8e18778a305954a9274fa887,200,0.0000%
72,0x5ad2f86a588a152ed50eefb4890885efc911160c,200,0.0000%
73,0xbfd75044b5bba7ecf1c2e5b03a40a569aad2e71f,200,0.0000%
74,0x2d8b549d8fc8fbf37802ad2fe34f2317a9e197c6,200,0.0000%
75,0x044a851ceb5a08f3648868d38b20c6b868f5f111,200,0.0000%
76,0x15d6b7182b1814bb1bbfebb3fb3723ce13842608,200,0.0000%
77,0x9a5fe1b7c6a9e8f2c262887210af067643f5d990,200,0.0000%
78,0xf92170e570dc517d7aa51199daa5c017183371bf,200,0.0000%
79,0x70a5162d718d0a611d50078e301b234559ecd0bc,200,0.0000%
80,0x596bbf5fed07538dfbc3f601e32dc2d9618cf21d,200,0.0000%
81,0x4d82b6839fd64ef7d3af64080167a42bf9b9e332,200,0.0000%
82,0x782d67795529329ec532494be631e9f5041825a5,200,0.0000%
83,0x94a33f5a3ffeb29cb0d555ea8926bfabe1f50a57,200,0.0000%
84,0x1caa393651d7f473ec095acd24a9bf654b76f49b,200,0.0000%
85,0x7c865bf9a9b04d42e949460d5416b5ac12aee6c3,200,0.0000%
86,0x957c82ea3fdd5c2e8b1ea7448e33f2ef28b73199,200,0.0000%
87,0x89800537cc37355f7605ca0879ad5f7f90439d50,200,0.0000%
88,0x75489f4129b3d6feb6685757352150c204c9d775,200,0.0000%
89,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,200,0.0000%
90,0x32da172a65aa2090a2d10b1a7ccad8139f4ee9f0,200,0.0000%
91,0xeee28d484628d41a82d01e21d12e2e78d69920da,200,0.0000%
92,0x174443351e21d47ed9ab51517a301107d92ede64,200,0.0000%
93,0x8834eca02b65bddee753f71fc5c065f24c2595c8,200,0.0000%
94,0x1fbfc8aef58bfe144155f02bc2b9cd0bace67c2a,200,0.0000%
95,0x2f154779a690eedd530851df7959746c8350af0e,200,0.0000%
96,0xf1cae6fb55b2ead64318241af87be16b4ae891ff,200,0.0000%
97,0x6485fc77be2186fc60feea38d0ef4331d8404b60,200,0.0000%
